File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1afe2382-a316-4220-916c-545745723462	NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A01_730618.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-A3-3357	TCGA-A3-3357-01A	Primary Tumor
2164812d-9725-4c7f-a153-2f0fb6477984	1b811b00-1c56-4faa-8e68-d7c4fbaa1cbd.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-BP-4771	TCGA-BP-4771-01A	Primary Tumor
219fa29f-3da2-4ee1-991f-18dcca25184a	7db35b39-8d3e-4f93-8450-7e494ba9e0f8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4967	TCGA-BP-4967-01A	Primary Tumor
700d027f-1463-4c79-892a-fa74316d39c6	DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_G02_1464762.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-G6-A8L8	TCGA-G6-A8L8-10A	Blood Derived Normal
3b83752f-72a4-4784-a13c-b2d4742ed56b	BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E10_584984.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-AK-3455	TCGA-AK-3455-01A	Primary Tumor
7f69752a-1f52-42de-aa99-3673e0093ba7	MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_F10_734900.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-B0-5399	TCGA-B0-5399-01A	Primary Tumor
100daad8-5c64-4ccd-81c1-458696009d47	TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-BP-5196	TCGA-BP-5196-01A	Primary Tumor
e35b8311-0a12-4877-8cdc-1287f9799f46	SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B01_680194.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CJ-4634	TCGA-CJ-4634-11A	Solid Tissue Normal
a66d9b85-cb83-43c6-9f3d-b53c2b3f819e	MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B09_734960.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CZ-5456	TCGA-CZ-5456-11A	Solid Tissue Normal
e513f5fd-b6c6-46a0-a770-4337a1c61ec4	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G12_697626.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-B0-4838	TCGA-B0-4838-01A	Primary Tumor
a2640414-65c9-4a48-9f32-8fc46a1c6bff	fab3910e-f702-4fe2-97b8-6e522d66a2c7.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-BP-5184	TCGA-BP-5184-01A	Primary Tumor
28ac8ad7-98d4-4430-a310-c351e5b1c455	58f96018-2cf5-4e6b-bec0-b8c79da62bce.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-4866	TCGA-CZ-4866-01A	Primary Tumor
510a4d3e-7bd5-440e-8fd6-9f1ad656733c	SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B03_697508.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-BP-4332	TCGA-BP-4332-01A	Primary Tumor
6bafbb20-2a2c-47cb-8736-34d40e196100	jhu-usc.edu_KIRC.HumanMethylation450.6.lvl-3.TCGA-CJ-6033-01A-11D-1670-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-6033	TCGA-CJ-6033-01A	Primary Tumor
94c179d5-fe26-4299-a65f-c3232727b383	7c6edaf7-d72e-4c12-9b2b-429425d17670.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-CJ-5672	TCGA-CJ-5672-01A	Primary Tumor
945aa0fa-e79a-4463-879d-7aa501f7d0f6	jhu-usc.edu_KIRC.HumanMethylation450.7.lvl-3.TCGA-B8-A54E-01A-11D-A264-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B8-A54E	TCGA-B8-A54E-01A	Primary Tumor
b7f3dd59-0f9e-451f-966b-ac59bd502fc5	jhu-usc.edu_KIRC.HumanMethylation27.2.lvl-3.TCGA-B8-4619-01A-01D-1186-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B8-4619	TCGA-B8-4619-01A	Primary Tumor
2337a89a-3cc9-436c-ab8c-7a8dbf389e99	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G02_697668.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CJ-4886	TCGA-CJ-4886-01A	Primary Tumor
caafc5bf-6d43-400b-85be-390ebd41df91	MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_G02_734988.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-B4-5377	TCGA-B4-5377-10A	Blood Derived Normal
7d0e6319-8652-4969-805a-89c4c8decea0	jhu-usc.edu_KIRC.HumanMethylation27.3.lvl-3.TCGA-BP-4346-11A-01D-1284-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-4346	TCGA-BP-4346-11A	Solid Tissue Normal
81791559-9f71-4f97-97b0-fef5e92278fd	5c389a62-c076-421d-9b55-03a6a44a7f32.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-A3-3380	TCGA-A3-3380-01A	Primary Tumor
be356d1e-8dd1-46ba-b4bf-79b0f41d2af9	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-AK-3458-01A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-AK-3458	TCGA-AK-3458-01A	Primary Tumor
74b0fb3b-bc8b-48e2-9b33-d1d59792d9e2	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4913-01A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-4913	TCGA-CJ-4913-01A	Primary Tumor
8614a81c-6537-489d-a861-258f1d4f7dac	SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A07_748558.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B8-5546	TCGA-B8-5546-01A	Primary Tumor
909861d9-1811-43c0-9a69-082dae07bb07	10f64bfb-e4ca-4426-b936-36e4c1c2cc2a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4636	TCGA-CJ-4636-01A	Primary Tumor
1561bb87-bc84-4127-9e53-2d3acbdddb2a	SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_C04_697568.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-BP-4335	TCGA-BP-4335-01A	Primary Tumor
b6945986-e1be-4d79-858b-f03b341d9b8c	d3f0dd9f-84cd-4ade-ade8-d4c9f284656e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B0-5709	TCGA-B0-5709-11A	Solid Tissue Normal
a739c899-5598-4197-9802-dad824c5d97d	PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B03_697398.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-AK-3425	TCGA-AK-3425-01A	Primary Tumor
b07d62cf-46df-450e-ace1-23920dcd955b	HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_D03_748144.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CW-5585	TCGA-CW-5585-11A	Solid Tissue Normal
92b27d11-9cd4-41fc-b252-a748e1c7a1b9	SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CJ-5684	TCGA-CJ-5684-11A	Solid Tissue Normal
5944024f-7687-4b2c-a9e2-ca42e6612f97	a87961f7-7a05-4248-a683-7047af4ea194.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B4-5838	TCGA-B4-5838-01A	Primary Tumor
115d8435-90e9-4216-92c6-e2c894b3b94c	jhu-usc.edu_KIRC.HumanMethylation450.7.lvl-3.TCGA-B2-A4SR-01A-11D-A264-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B2-A4SR	TCGA-B2-A4SR-01A	Primary Tumor
77cbe01b-1aaf-486e-b483-026337dbfc83	OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CW-6093	TCGA-CW-6093-11A	Solid Tissue Normal
19649035-1ec5-41f3-b768-cb7e9f3c343d	jhu-usc.edu_KIRC.HumanMethylation27.5.lvl-3.TCGA-BP-4988-11A-01D-1332-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-4988	TCGA-BP-4988-11A	Solid Tissue Normal
7c814d53-d6e0-49fc-9e2d-642469a69473	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-BP-5189-11A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-5189	TCGA-BP-5189-11A	Solid Tissue Normal
378b7535-049f-4a99-9e4d-f894d5f60a51	BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C04_777432.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B8-4153	TCGA-B8-4153-11A	Solid Tissue Normal
b01356aa-d4a5-4175-87ed-bd0e3fc14678	52e617c7-0fdb-4015-85f4-ef0731361a1b.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-DV-5565	TCGA-DV-5565-01A	Primary Tumor
5e083cc3-9d4c-43ba-b7dc-1f3a38a42d5d	MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G06_1320464.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B2-A4SR	TCGA-B2-A4SR-11A	Solid Tissue Normal
b001b1e3-b733-42b8-bdac-4f18f2a87118	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-B0-4706-01A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4706	TCGA-B0-4706-01A	Primary Tumor
0e03c468-afaa-4e7d-8348-774579618e1b	ceeffad0-1a88-41cb-84fc-05eb9d074e8f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-CJ-4636	TCGA-CJ-4636-01A	Primary Tumor
e4368e9d-ddd4-4252-b90d-833d885adeed	MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_D12_734880.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CZ-5460	TCGA-CZ-5460-01A	Primary Tumor
5447f2aa-8e21-439c-9d9e-671a751a6f25	1595b26f-d684-4962-b7ee-1f64addc4390.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5987	TCGA-CZ-5987-01A	Primary Tumor
8d51ceb9-f79d-44aa-9a07-048613f3afac	SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_C01_748582.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CJ-5675	TCGA-CJ-5675-01A	Primary Tumor
3f3148d8-d219-4f60-b8d0-a2d21d8e4358	MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_H02_734972.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B0-5080	TCGA-B0-5080-01A	Primary Tumor
0f941059-adb9-4646-b181-3ebf17878222	BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_C03_585076.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-AK-3444	TCGA-AK-3444-01A	Primary Tumor
980fba5c-7fa6-42f0-8e93-e9e2eaa9bf18	jhu-usc.edu_KIRC.HumanMethylation27.5.lvl-3.TCGA-BP-4969-01A-01D-1332-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-4969	TCGA-BP-4969-01A	Primary Tumor
f78619f6-6412-434f-92a7-cbbf803a858d	BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D10_585012.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-A3-3346	TCGA-A3-3346-01A	Primary Tumor
37627f8a-fefe-4ee6-ae9b-0c5e0650bd74	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-B0-4710-11A-02D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4710	TCGA-B0-4710-11A	Solid Tissue Normal
7ac323e3-7f8b-4b06-a96a-11a07a43287b	e5c16db8-97d3-49db-8a65-f4cd26e630c7.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-A3-3347	TCGA-A3-3347-01A	Primary Tumor
29bd34bd-0e13-430e-9a04-79f44ff9f546	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D06_697764.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CJ-4878	TCGA-CJ-4878-11A	Solid Tissue Normal
a5c447f1-4f97-482c-83e0-3f0ed63c9a78	45ca61f5-eb78-4bd3-af3a-9847ac6e1a14.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4843	TCGA-B0-4843-01A	Primary Tumor
66e0c991-6fc0-4f3d-ae58-2018fb977f70	OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D10_777128.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CZ-5986	TCGA-CZ-5986-11A	Solid Tissue Normal
5c34f48b-a21c-455d-b168-b477f9ddd776	MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G05_1320456.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B8-A54G	TCGA-B8-A54G-01A	Primary Tumor
a1247db9-86be-4ee4-bf84-deb7901ece30	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_D02_697620.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-BP-4789	TCGA-BP-4789-01A	Primary Tumor
f98aaddc-aef5-40c3-bd4d-3366e8c09300	NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C03_730536.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-A3-3370	TCGA-A3-3370-01A	Primary Tumor
cf284c64-b5d7-44f3-8e68-2f402f1deff3	dbf78e68-94c3-4c59-93cd-005f7477bb2d.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-BP-4351	TCGA-BP-4351-01A	Primary Tumor
d2219d58-e2e3-4cae-99eb-155e4bb569ca	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C08_697782.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CJ-4875	TCGA-CJ-4875-01A	Primary Tumor
a664e05e-dc1f-498d-ac2e-b6d84e3eb540	SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H10_748544.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-B8-5550	TCGA-B8-5550-10A	Blood Derived Normal
9254bdc3-1954-4503-88ff-9cb845a40ff2	jhu-usc.edu_KIRC.HumanMethylation27.4.lvl-3.TCGA-CJ-4885-11A-01D-1303-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-4885	TCGA-CJ-4885-11A	Solid Tissue Normal
730458bc-7445-4aec-a28c-958a46586b10	67a72a8b-44d6-4c32-94cb-a406076872b7.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B8-5158	TCGA-B8-5158-01A	Primary Tumor
9826cbe3-3fb6-4a6d-828d-bacceadc51ed	e7f07f98-8dbf-4884-8d45-318671c15c98.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4761	TCGA-BP-4761-01A	Primary Tumor
8e6b3ef2-fe39-41ee-9826-eba3e772efcb	309c2415-06e2-405d-801f-1d8ddb89c0ba.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-6032	TCGA-CJ-6032-01A	Primary Tumor
68d65bf5-8f8f-4228-87fd-a846f60a8ad6	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4897-11A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-4897	TCGA-CJ-4897-11A	Solid Tissue Normal
ffdce634-7f3f-4459-a6e6-21763d7a276d	SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B04_680054.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-AK-3451	TCGA-AK-3451-10A	Blood Derived Normal
6463382c-a2a3-447e-8bd6-e8fca92e2a03	6a5e04a4-bfe3-4b38-9ed0-1c51233b7ba3.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-A3-3324	TCGA-A3-3324-01A	Primary Tumor
df1b7a1a-056a-4ad0-82dc-c7a9f8108d4b	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B06_697690.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CZ-4862	TCGA-CZ-4862-11A	Solid Tissue Normal
7815d613-f119-47e0-b2a6-ab3675735ec2	HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_G07_748168.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-DV-5566	TCGA-DV-5566-10A	Blood Derived Normal
6d9cb6fc-f249-4d8d-9268-07218906fbc8	PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_H06_697354.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-AK-3453	TCGA-AK-3453-10A	Blood Derived Normal
f2fb03c3-6674-4ddc-bb1b-5ae1ea61b41d	OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F08_777074.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CZ-5987	TCGA-CZ-5987-01A	Primary Tumor
9da54930-3945-4877-a40c-290e7ec00000	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-CZ-5455-01A-01D-1500-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CZ-5455	TCGA-CZ-5455-01A	Primary Tumor
c51ba8e3-6bfe-47da-b1df-cf62f2d640b5	34119118-6feb-4641-9e6c-485981c7984b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5696	TCGA-B0-5696-11A	Solid Tissue Normal
f1d599ec-9ca1-4927-bb9c-01b433fd0571	PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_G08_697388.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B0-4828	TCGA-B0-4828-11A	Solid Tissue Normal
caba3e6a-cf76-433c-91cc-40745517ac82	208e8d62-0277-404e-9246-55d36eb3ec7d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B8-4621	TCGA-B8-4621-01A	Primary Tumor
e53de7d4-2c4e-4d7e-81b6-461e648d4f34	3d660a84-4402-4efd-a90e-5b53d70aff91.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B8-4153	TCGA-B8-4153-01B	Primary Tumor
27ba8c96-0b30-4533-8a92-ee77cff6c27b	e5256f63-7bfe-45b6-9194-20c9be7ea84e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B0-5706	TCGA-B0-5706-11A	Solid Tissue Normal
6b6e8d7f-058c-433f-b26d-3a9008de1287	jhu-usc.edu_KIRC.HumanMethylation27.5.lvl-3.TCGA-B0-5077-01A-01D-1332-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-5077	TCGA-B0-5077-01A	Primary Tumor
1f5152a5-04aa-4389-8c09-aee3b02d8ff3	e50711df-fe6b-480f-97c0-e150cb5d3a5b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CW-5587	TCGA-CW-5587-11A	Solid Tissue Normal
